     0.000 D | Testing "/home/orest/.local/share/PollyMC/qtlogging.ini" ...
     0.000 D | Testing "/usr/qtlogging.ini" ...
     0.000 D | <> Log initialized.
     0.000 D | <> No migration needed from "PolyMC"
     0.000 D | <> No migration needed from "MultiMC"
     0.000 D | "PollyMC" , (c) 2013-2021  "© 2022-2023 PollyMC Contributors\n© 2022-2023 Prism Launcher Contributors\n© 2021-2022 PolyMC Contributors \n© 2012-2021 MultiMC Contributors"
     0.000 D | Version                    :  "7.1"
     0.000 D | Git commit                 :  "13b2c15abc8e0416f60e64c1a630edb3dd59325c"
     0.000 D | Git refspec                :  "refs/heads/develop"
     0.000 D | Work dir before adjustment :  "/home/orest"
     0.000 D | Work dir after adjustment  :  "/home/orest/.local/share/PollyMC"
     0.000 D | Adjusted by                :  "Persistent data path"
     0.000 D | Binary path                :  "/usr/bin"
     0.000 D | Application root path      :  "/usr"
     0.000 D | <> Paths set.
     0.023 D | Detected default console font: "Cascadia Code" , substitutions: ""
     0.027 D | <> Settings loaded.
     0.028 D | Detecting proxy settings...
     0.028 D | Using no proxy is an option!
     0.028 D | <> Network done.
     0.029 D | Loading Application Language File for uk ...
     0.030 D | Your language is "uk"
     0.030 D | <> Translations loaded.
     0.030 D | Started watching  "/home/orest/.local/share/PollyMC/icons"
     0.030 D | Sorting icon list...
     0.031 D | <> Instance icons intialized.
     0.031 D | [Theme] <> Icon themes initialized.
     0.031 D | [Theme] <> Initializing Widget Themes
     0.031 D | [Theme] Determining System Theme...
     0.031 D | [Theme] System theme seems to be: "fusion"
     0.031 D | [Theme] Considering theme from theme factory: "windows"
     0.031 D | [Theme] Considering theme from theme factory: "fusion"
     0.031 D | [Theme] System theme has been determined to be: "Fusion"
     0.031 D | [Theme] Loading Built-in Theme: "system"
     0.031 D | [Theme] Loading Built-in Theme: "dark"
     0.031 D | [Theme] Loading Built-in Theme: "bright"
     0.031 D | [Theme] Theme Folder Path:  "/home/orest/.local/share/PollyMC/themes"
     0.031 D | [Theme] Loading JSON Theme from: "/home/orest/.local/share/PollyMC/themes/Catppuccin-Frappe/theme.json"
     0.032 D | [Theme] Loading JSON Theme from: "/home/orest/.local/share/PollyMC/themes/Catppuccin-Latte/theme.json"
     0.033 D | [Theme] Loading JSON Theme from: "/home/orest/.local/share/PollyMC/themes/Catppuccin-Macchiato/theme.json"
     0.034 D | [Theme] Loading JSON Theme from: "/home/orest/.local/share/PollyMC/themes/Catppuccin-Mocha/theme.json"
     0.034 D | [Theme] <> Widget themes initialized.
     0.034 D | Instance path              :  "instances"
     0.034 D | Loading Instances...
     0.034 D | Discovering instances in "/home/orest/.local/share/PollyMC/instances"
     0.034 D | <> Instances loaded.
     0.034 D | Loading accounts...
     0.034 C | "Failed to read the account list file (accounts.json)."
     0.034 D | <> Accounts loaded.
     0.035 D | <> Cache initialized.
     0.035 D | Downloading Translations Index...
     0.035 D | [launcher.task]: Task "NetJob(Translations Index ID: cd2492ed-4573-475c-9120-7649cace526b)" starting for the first time
     0.035 D | [Theme] <> Icon theme set.
     0.035 D | [Theme] applying theme "Системний"
     0.035 D | [Theme] <> Application theme set.
     0.065 D | Reloading news.
     0.065 D | [launcher.task]: Task "NetJob(News RSS Feed ID: 9f4a0e4d-30a9-46e7-a2ab-f1d6c16d7ab1)" starting for the first time
     0.114 D | <> Main window shown.
     0.138 D | [launcher.task]: Task "Net::Download(BYTES:https://prismlauncher.org/feed/feed.xml ID: cc876d76-6843-421d-b453-813dfac28a73)" starting for the first time
     0.138 D | [launcher.task.net.download]: "{cc876d76-6843-421d-b453-813dfac28a73}" Downloading  "https://prismlauncher.org/feed/feed.xml"
     0.147 D | [launcher.task]: Task "Net::Download(CACHE:https://i18n.prismlauncher.org/index_v2.json ID: d29fdef4-b662-4a96-9969-50682b8132a7)" starting for the first time
     0.148 D | [launcher.task.net.download]: "{d29fdef4-b662-4a96-9969-50682b8132a7}" Downloading  "https://i18n.prismlauncher.org/index_v2.json"
     0.148 D | Dir changed: "/home/orest/.local/share/PollyMC/translations"
     0.149 D | Loading Application Language File for uk ...
     0.470 D | [launcher.task.net.download]: "{cc876d76-6843-421d-b453-813dfac28a73}" Download succeeded: "https://prismlauncher.org/feed/feed.xml"
     0.470 D | [launcher.task]: Task "NetJob(News RSS Feed ID: 9f4a0e4d-30a9-46e7-a2ab-f1d6c16d7ab1)" succeeded
     0.470 D | Finished loading RSS feed.
     0.493 D | Loaded news entry "Prism Launcher Release 7.1, now available"
     0.493 D | Loaded news entry "Prism Launcher Release 7.0, now available"
     0.493 D | Loaded news entry "FTB Modpack Downloading Removal."
