
2023/08/02 (10:43:29) | ===> btop++ v.1.2.13
2023/08/02 (10:43:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/02 (10:47:56) | ===> btop++ v.1.2.13
2023/08/02 (10:47:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/16 (23:53:42) | ===> btop++ v.1.2.13
2023/08/16 (23:53:42) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/17 (18:28:51) | ===> btop++ v.1.2.13
2023/08/17 (18:28:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/19 (23:23:58) | ===> btop++ v.1.2.13
2023/08/19 (23:23:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (18:13:41) | ===> btop++ v.1.2.13
2023/08/23 (18:13:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/23 (18:17:17) | ===> btop++ v.1.2.13
2023/08/23 (18:17:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/25 (15:30:29) | ===> btop++ v.1.2.13
2023/08/25 (15:30:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/08/25 (15:37:33) | ===> btop++ v.1.2.13
2023/08/25 (15:37:33) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/08/31 (18:28:07) | ===> btop++ v.1.2.13
2023/08/31 (18:28:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
